ftc.gov,0,1,0,1,1,1,0,2,5,0
hibu.com,1,0,1,1,1,0,2,0,0,0
census.gov,0,1,0,0,0,2,0,2,1,2
bls.gov,0,0,0,0,0,2,2,2,2,2
twitch.tv,1,0,0,1,0,4,1,2,4,1
mailchimp.com,1,0,1,1,1,4,1,4,4,4
prestashop.com,1,1,1,1,1,0,0,0,0,0
alexa.com,0,1,1,1,1,2,0,0,0,0
mlb.com,0,0,0,0,0,2,1,2,2,2
aliyun.com,1,0,0,1,1,0,2,2,0,0
oecd.org,1,1,0,0,1,0,0,1,2,0
domeneshop.no,0,0,1,1,1,1,1,0,0,0
eventbrite.co.uk,1,0,1,1,0,0,2,0,0,2
dictionary.com,1,0,1,0,0,0,2,0,2,2
360.cn,1,0,1,1,1,0,1,0,0,0
nhk.or.jp,1,1,1,1,1,0,0,0,0,0
accuweather.com,1,1,0,0,1,0,0,2,2,0
mhlw.go.jp,1,1,1,1,1,0,0,0,0,0
gesetze-im-internet.de,1,1,1,1,0,0,0,0,0,2
dot.gov,1,1,1,1,1,0,0,0,0,0
domainnameshop.com,1,0,1,0,1,0,1,0,2,0
gpo.gov,1,1,1,0,10,0,0,0,2,0
illinois.edu,0,0,1,1,0,2,2,0,0,2
google.ch,1,0,10,1,10,0,2,0,0,0
libsyn.com,1,0,1,0,10,0,1,0,2,0
bund.de,1,0,0,1,1,0,2,1,0,0
justgiving.com,1,1,0,1,0,0,0,2,0,1
w3schools.com,0,0,1,0,0,2,2,4,1,1
icann.org,0,0,0,0,0,2,2,1,2,2
oup.com,0,1,1,0,0,2,0,0,2,1
dol.gov,0,0,1,0,0,2,2,0,2,2
tucowsdomains.com,0,0,0,0,0,2,2,2,2,2
windowsphone.com,1,0,1,1,1,0,2,0,0,0
blackberry.com,0,1,0,0,1,1,0,2,2,0
justice.gov,1,0,0,0,1,0,2,2,2,0
ewebdevelopment.com,1,1,1,0,1,0,0,0,1,0
dhs.gov,1,1,1,1,1,0,0,0,0,0
playstation.com,0,0,0,0,0,1,2,2,2,1
congress.gov,0,0,30,1,0,2,2,0,5,2
usgs.gov,1,1,0,0,7,4,4,1,2,3
giphy.com,0,1,0,5,0,1,0,1,3,2
cam.ac.uk,1,10,0,10,10,0,0,1,0,0
fastcompany.com,1,1,0,10,10,0,0,2,0,0
wikihow.com,0,1,0,0,10,1,0,2,1,0
indiatimes.com,1,11,1,11,0,5,3,5,3,2
moodle.org,1,1,1,1,1,0,0,0,0,0
worldbank.org,1,4,1,4,4,4,4,4,4,4
symantec.com,1,10,1,10,0,0,0,0,0,1
intel.com,0,2,1,2,0,2,3,4,3,1
ucl.ac.uk,0,1,0,4,1,1,0,2,0,0
1688.com,1,0,10,10,0,0,2,0,0,1
python.org,0,0,0,0,0,2,2,2,2,2
canada.ca,0,10,1,1,10,2,0,0,0,0
ticketmaster.com,1,0,0,0,0,0,2,2,1,1
nginx.com,1,1,10,0,10,0,0,0,1,0
acm.org,1,1,10,10,10,0,0,0,0,0
oreilly.com,1,9,9,9,9,0,3,3,3,3
att.com,0,0,0,0,0,2,2,2,2,2
snapchat.com,0,0,0,0,0,2,1,2,1,2
